gene.name	gene.regulation
SCNN1A	up-regulated
CEP70	up-regulated
ADGRG2	up-regulated
SLC7A7	up-regulated
PAQR7	up-regulated
METTL7A	up-regulated
ATP2B4	up-regulated
EMP2	up-regulated
FAM111B	down-regulated
GSDME	up-regulated
B4GALT1	up-regulated
CBLB	up-regulated
CDC6	down-regulated
C11orf80	up-regulated
RFWD3	down-regulated
ADGRG6	up-regulated
NNMT	up-regulated
MASTL	down-regulated
SDK2	up-regulated
EXO1	down-regulated
MCM6	down-regulated
ADGRL1	up-regulated
ZWINT	down-regulated
MCM10	down-regulated
ALOX5AP	up-regulated
WDR76	down-regulated
CDCA5	down-regulated
MAOA	up-regulated
IFIT1	up-regulated
SSBP2	up-regulated
CDT1	down-regulated
MSH2	down-regulated
PDZD2	up-regulated
ACSL1	up-regulated
DTL	down-regulated
MARVELD1	up-regulated
MSH6	down-regulated
MCM4	down-regulated
EML1	down-regulated
FARP1	up-regulated
JAK1	up-regulated
CHAF1A	down-regulated
FAM83A	up-regulated
ACSS2	up-regulated
CDC25A	down-regulated
NEBL	up-regulated
ALOX15B	up-regulated
VWA8	up-regulated
ADAMTSL4	up-regulated
RFC4	down-regulated
KCNH3	down-regulated
PRDX6	up-regulated
TONSL	down-regulated
PHF20L1	up-regulated
EMP1	up-regulated
STIM1	up-regulated
SMC2	down-regulated
LEPROT	up-regulated
RMI2	down-regulated
TUB	down-regulated
F11R	up-regulated
AOX1	up-regulated
FANCI	down-regulated
IL13RA1	up-regulated
AKAP12	up-regulated
EPHB2	down-regulated
FANCG	down-regulated
KANK2	up-regulated
CHAF1B	down-regulated
FANCA	down-regulated
BEGAIN	down-regulated
ITGA1	up-regulated
TRAF3	down-regulated
C1orf21	up-regulated
NBEAL2	up-regulated
SGPP2	up-regulated
OCA2	up-regulated
SRGN	up-regulated
ITGA11	down-regulated
ACOX1	up-regulated
ZNF367	down-regulated
RRM1	down-regulated
MARCKSL1	down-regulated
ANKRD29	up-regulated
HSD11B1	up-regulated
FGA	up-regulated
PMEPA1	down-regulated
MORC4	down-regulated
HASPIN	down-regulated
PDE1C	down-regulated
NABP1	up-regulated
ACE	up-regulated
SFRP1	down-regulated
MMP28	up-regulated
IGFBP5	down-regulated
NCAPG	down-regulated
B4GALT5	up-regulated
CLSPN	down-regulated
RFC5	down-regulated
ABCA8	up-regulated
PLD5	up-regulated
ITSN1	up-regulated
MCM3	down-regulated
GINS4	down-regulated
NBL1	up-regulated
RASGRP3	down-regulated
SLC51B	up-regulated
SLC1A4	down-regulated
S100P	up-regulated
EZH2	down-regulated
E2F1	down-regulated
ANPEP	up-regulated
CLDN7	up-regulated
TSPAN5	down-regulated
PDE6A	up-regulated
OPN3	up-regulated
RPS6KA3	down-regulated
SCNN1B	up-regulated
BRCA1	down-regulated
AC008760.2	up-regulated
TRIM29	up-regulated
CALD1	up-regulated
TOM1L2	up-regulated
PSMC3IP	down-regulated
IQCN	up-regulated
MFHAS1	down-regulated
TRIM26	up-regulated
IGFBP3	down-regulated
ANTXR1	down-regulated
RNF121	down-regulated
CUX2	up-regulated
HERC3	up-regulated
CDH16	up-regulated
FANCD2	down-regulated
RFC3	down-regulated
RSPO3	down-regulated
PHLDB2	up-regulated
XRCC3	down-regulated
CDH19	down-regulated
OTULINL	up-regulated
CIDEC	up-regulated
FEN1	down-regulated
KIF18A	down-regulated
OLFM2	down-regulated
DHCR24	up-regulated
PIK3C2B	up-regulated
HGD	up-regulated
C5AR1	up-regulated
XRCC2	down-regulated
PHKA1	up-regulated
PCNA	down-regulated
KLHL29	up-regulated
CYP4F22	up-regulated
RPA1	down-regulated
IDS	down-regulated
USP1	down-regulated
BEST2	up-regulated
TLCD2	up-regulated
KIF26A	down-regulated
AC005840.3	up-regulated
IQGAP2	up-regulated
TOPBP1	down-regulated
ARSJ	down-regulated
ERGIC1	up-regulated
CEP55	down-regulated
STOM	up-regulated
POLD3	down-regulated
PRSS23	down-regulated
LIX1L	up-regulated
COPS8	up-regulated
UBASH3B	down-regulated
SDK1	up-regulated
MET	down-regulated
CILP	up-regulated
PTK2	up-regulated
C19orf48	down-regulated
RFC2	down-regulated
DOCK4	up-regulated
ERCC6L	down-regulated
GMPR	up-regulated
DOCK9	up-regulated
ACSL4	up-regulated
FAM161A	down-regulated
MTCL1	down-regulated
MAP2	up-regulated
HPGD	up-regulated
POLA1	down-regulated
ETNK2	up-regulated
SYNC	up-regulated
RHCG	up-regulated
MANBA	up-regulated
DCN	up-regulated
FIGNL1	down-regulated
CPS1	up-regulated
TUBGCP3	down-regulated
HSPA12A	down-regulated
C3	up-regulated
CXCL16	down-regulated
CALCOCO2	up-regulated
FGB	up-regulated
UBAP1	up-regulated
RELT	down-regulated
CNST	up-regulated
STK32B	down-regulated
KRT6A	up-regulated
AKAP10	up-regulated
MYO5B	down-regulated
ROCK1	up-regulated
GINS3	down-regulated
CHP1	up-regulated
CYB5A	up-regulated
HPCAL1	up-regulated
NUF2	down-regulated
DDX11	down-regulated
RALGAPB	up-regulated
KCNB1	up-regulated
CLASP1	up-regulated
CPB2	up-regulated
SEMA4D	down-regulated
GLUD1	up-regulated
ZHX3	up-regulated
PEX11A	up-regulated
LMNB1	down-regulated
WDHD1	down-regulated
CDCA4	down-regulated
ACSL5	up-regulated
POLE	down-regulated
NUP107	down-regulated
CCDC186	up-regulated
SLC8B1	up-regulated
PNPO	up-regulated
GMPS	down-regulated
PDE8A	down-regulated
ANXA1	down-regulated
CASP8AP2	down-regulated
HMGA1	down-regulated
MGAT5B	down-regulated
MT1X	up-regulated
SHC1	up-regulated
B4GALNT1	down-regulated
E2F7	down-regulated
CGNL1	down-regulated
ARNT2	down-regulated
TTL	down-regulated
GLP2R	down-regulated
MCM5	down-regulated
GLA	down-regulated
SDS	up-regulated
SERPINA3	up-regulated
RTN4RL2	down-regulated
HAUS8	down-regulated
CENPJ	down-regulated
LRP8	down-regulated
GYS1	up-regulated
HJURP	down-regulated
HELLS	down-regulated
DSN1	down-regulated
RAD51	down-regulated
ELOVL5	up-regulated
FBXO5	down-regulated
TGM2	up-regulated
ELOVL2	down-regulated
MAP4K5	down-regulated
POLE3	down-regulated
SLC7A8	up-regulated
BCAS1	down-regulated
PARD3	down-regulated
TIMELESS	down-regulated
RGP1	up-regulated
CDCA2	down-regulated
C14orf132	down-regulated
DNAJC15	up-regulated
TUBB	down-regulated
TFPI2	down-regulated
NCF2	down-regulated
E2F2	down-regulated
SLC25A18	up-regulated
KLHL20	up-regulated
AACS	up-regulated
ADAM17	down-regulated
STXBP5	up-regulated
STAT4	up-regulated
ADGRB2	down-regulated
DCDC1	down-regulated
SYT1	down-regulated
SEMA3E	down-regulated
BCO1	down-regulated
FER1L4	up-regulated
CD59	up-regulated
H2AFX	down-regulated
PLK4	down-regulated
KCNH1	down-regulated
ORAI2	down-regulated
GOLPH3	up-regulated
PISD	up-regulated
KSR2	down-regulated
WDR62	down-regulated
PARPBP	down-regulated
LHX2	down-regulated
KCTD15	down-regulated
CCDC80	up-regulated
MGME1	down-regulated
SLC25A20	up-regulated
NCAPD3	down-regulated
SLC22A15	up-regulated
RHBDL3	down-regulated
SFRP5	up-regulated
TEF	up-regulated
TNFAIP8	down-regulated
PHF8	up-regulated
STX12	up-regulated
PAPSS2	down-regulated
ESCO2	down-regulated
IL17RC	up-regulated
BBS12	up-regulated
PEX11B	up-regulated
GPD2	down-regulated
SLC25A12	up-regulated
CDH6	down-regulated
KLF9	up-regulated
UHRF1	down-regulated
INTS7	down-regulated
AFF1	up-regulated
ARFGAP3	up-regulated
TBC1D2B	up-regulated
PTPRG	up-regulated
DNA2	down-regulated
LONP2	up-regulated
PNRC1	up-regulated
SLC45A4	up-regulated
ATG4A	up-regulated
ALPP	up-regulated
MELK	down-regulated
TMEM164	up-regulated
TM4SF18	down-regulated
E2F8	down-regulated
RAP1GAP	down-regulated
LOX	up-regulated
RBL1	down-regulated
FZD4	up-regulated
TICRR	down-regulated
LPAR1	up-regulated
KLHDC4	up-regulated
SDC4	up-regulated
TMEM150A	up-regulated
PCLAF	down-regulated
SMC1A	down-regulated
PKP2	up-regulated
IFNGR1	up-regulated
NUP62CL	down-regulated
SIRPA	down-regulated
SLC22A23	down-regulated
ROCK2	down-regulated
SYT13	down-regulated
THSD4	up-regulated
FRZB	up-regulated
CENPH	down-regulated
SYNJ2	down-regulated
FKBP5	up-regulated
NFS1	up-regulated
PLCL2	down-regulated
CDC45	down-regulated
ZGRF1	down-regulated
SAA1	up-regulated
ULK2	up-regulated
SPX	up-regulated
GOT1	up-regulated
RNF145	up-regulated
CD109	up-regulated
PITPNC1	up-regulated
HAT1	down-regulated
SPAG5	down-regulated
RAD54L	down-regulated
IGSF3	down-regulated
HSD17B4	up-regulated
VCL	up-regulated
DDX60L	down-regulated
TTPAL	up-regulated
NFIC	up-regulated
FAM222B	up-regulated
DHX15	down-regulated
SRSF10	up-regulated
B4GALT4	down-regulated
RASEF	down-regulated
AC018629.1	up-regulated
ITGA5	up-regulated
VASN	down-regulated
SENP1	down-regulated
SGMS2	up-regulated
GPD1L	up-regulated
GPRIN1	down-regulated
RHNO1	down-regulated
A4GALT	up-regulated
PDLIM1	up-regulated
SLC45A1	up-regulated
CD44	down-regulated
SH3TC1	up-regulated
PITPNM3	up-regulated
NPTXR	down-regulated
ATOH8	up-regulated
OSBPL1A	up-regulated
FAM83D	down-regulated
NES	down-regulated
VCAN	down-regulated
TCF7	down-regulated
HPD	up-regulated
PKMYT1	down-regulated
FBXO3	up-regulated
MIR3936HG	up-regulated
LMO4	down-regulated
LYN	down-regulated
SHISAL1	down-regulated
KIAA1210	up-regulated
VSTM2L	up-regulated
KYAT1	up-regulated
TNS2	up-regulated
UNC13B	up-regulated
L1CAM	down-regulated
LEFTY1	up-regulated
SEC31A	up-regulated
AEN	down-regulated
PXN	up-regulated
MAP7	down-regulated
KIF24	down-regulated
DPYSL5	down-regulated
ADAM12	down-regulated
LTBP1	up-regulated
CDK2	down-regulated
PCSK6	up-regulated
CACNG6	down-regulated
LYRM1	up-regulated
CACNG7	down-regulated
TNFRSF21	down-regulated
MIS18BP1	down-regulated
GNAZ	down-regulated
MYO10	down-regulated
HLF	up-regulated
FBLN5	up-regulated
PTK6	up-regulated
CCDC198	down-regulated
ZBTB16	up-regulated
LINC02086	down-regulated
ATP1A1	up-regulated
NSD2	down-regulated
NUP205	down-regulated
CENPN	down-regulated
SLC3A1	down-regulated
BRIP1	down-regulated
TRAM2	up-regulated
NRCAM	up-regulated
LINC01842	up-regulated
TCF19	down-regulated
PPA1	up-regulated
RHPN2	down-regulated
ARHGAP29	down-regulated
MTFR1L	up-regulated
PRKAG2	up-regulated
GJC1	down-regulated
EME1	down-regulated
TFAM	down-regulated
ASB1	down-regulated
COQ8B	up-regulated
NCAPG2	down-regulated
WIPI1	up-regulated
SQSTM1	down-regulated
IFT57	down-regulated
CCN4	up-regulated
IVNS1ABP	down-regulated
SPOP	up-regulated
PADI3	down-regulated
HHIP	down-regulated
KNTC1	down-regulated
VANGL2	down-regulated
BCO2	up-regulated
PGBD4	up-regulated
CENPV	down-regulated
PHLDB1	down-regulated
ASF1B	down-regulated
LMCD1	down-regulated
NCOA4	up-regulated
TNFSF14	up-regulated
EXOSC9	down-regulated
IPO13	up-regulated
P4HA2	up-regulated
RTKN2	down-regulated
BLM	down-regulated
CLVS1	down-regulated
SUPT16H	down-regulated
TTC7A	up-regulated
BICC1	down-regulated
LRRC8C	down-regulated
TMOD1	down-regulated
SHROOM3	up-regulated
AL023284.4	down-regulated
XDH	down-regulated
SMC4	down-regulated
MXD4	up-regulated
AGPAT4	up-regulated
ATP2B1	down-regulated
PPP2R2C	down-regulated
AC008083.2	down-regulated
DEK	down-regulated
COL4A5	up-regulated
ITGB4	up-regulated
CIP2A	down-regulated
PAQR4	down-regulated
GREM1	down-regulated
IL1R1	up-regulated
MYBL1	down-regulated
C6orf89	up-regulated
C1RL	up-regulated
TRNP1	up-regulated
ACOT7	up-regulated
FAM43A	up-regulated
TOR3A	down-regulated
BIRC5	down-regulated
DSCC1	down-regulated
PTPRM	up-regulated
ASIC2	down-regulated
PASK	down-regulated
ATF6	up-regulated
MVB12B	down-regulated
MN1	down-regulated
CADM1	down-regulated
ST6GAL2	down-regulated
MROH1	up-regulated
CNR1	up-regulated
VSIR	up-regulated
PTK2B	up-regulated
KLHL4	up-regulated
KRT8	up-regulated
NKILA	down-regulated
GSAP	up-regulated
TEX41	down-regulated
WEE1	down-regulated
AGFG2	up-regulated
EDN3	up-regulated
CCNE1	down-regulated
TUBD1	down-regulated
PROCR	up-regulated
TNS4	up-regulated
RECQL4	down-regulated
LRP12	down-regulated
TTK	down-regulated
KIDINS220	up-regulated
ENOX1	up-regulated
SLC7A11	down-regulated
ARID4A	up-regulated
TMEM245	up-regulated
OPA3	up-regulated
PTPN12	up-regulated
OLAH	up-regulated
TNFRSF10D	down-regulated
EXD2	up-regulated
C6orf203	up-regulated
MND1	down-regulated
CDC42BPB	up-regulated
COX10	up-regulated
SNAP25	down-regulated
CTSL	down-regulated
LINC00261	down-regulated
CHEK1	down-regulated
AKT3	down-regulated
DLGAP5	down-regulated
MUC1	up-regulated
CTXN1	down-regulated
PLPP1	up-regulated
TUBA4A	down-regulated
SLC6A6	down-regulated
AC092718.4	down-regulated
NPAS2	down-regulated
AC027237.1	down-regulated
PELI2	down-regulated
MIR1915HG	down-regulated
GBF1	up-regulated
PITPNM2	up-regulated
SLC29A2	up-regulated
NEMP1	down-regulated
BUB1B	down-regulated
FAM20B	down-regulated
KIAA1191	up-regulated
GGT5	up-regulated
CYP2S1	down-regulated
KDM2B	down-regulated
PRIM1	down-regulated
VAV2	down-regulated
ABLIM2	up-regulated
STAT1	up-regulated
MCM7	down-regulated
INTS9	up-regulated
CDH1	up-regulated
SOD2	up-regulated
DOC2B	up-regulated
MMS22L	down-regulated
SPDL1	down-regulated
OAS3	down-regulated
STAT2	up-regulated
KRT8P42	down-regulated
ABHD2	up-regulated
F13B	down-regulated
MUC3A	up-regulated
CCDC34	down-regulated
SYTL2	down-regulated
PHTF1	down-regulated
ATF3	down-regulated
FAM214B	up-regulated
ZNFX1	up-regulated
CYB5R3	up-regulated
OSBP2	down-regulated
PMP22	down-regulated
SOCS3	up-regulated
FAM171A1	down-regulated
CRY2	up-regulated
HECW2	up-regulated
PCNX2	down-regulated
TOP2A	down-regulated
NFIX	down-regulated
USP2	up-regulated
TRAPPC11	up-regulated
SLC39A11	up-regulated
SYNM	down-regulated
DESI1	up-regulated
AC239800.2	down-regulated
ATAD5	down-regulated
RAB3D	up-regulated
THOC2	up-regulated
AC078850.1	up-regulated
MKNK2	up-regulated
ABLIM3	up-regulated
POLA2	down-regulated
UQCC1	up-regulated
MCM8	down-regulated
CXCL5	down-regulated
ANKRD2	up-regulated
GALNT16	down-regulated
TMEM106C	down-regulated
NPC1	up-regulated
TBC1D4	down-regulated
TRMT61B	up-regulated
LAMA3	up-regulated
TEDC2	down-regulated
SLC4A7	down-regulated
AC131649.2	up-regulated
FLRT2	down-regulated
SPARC	down-regulated
UNC5D	down-regulated
NEK2	down-regulated
HEATR5B	up-regulated
TP53INP2	up-regulated
APOL1	up-regulated
SEMA3A	down-regulated
COL4A4	up-regulated
CCND3	down-regulated
AP5M1	up-regulated
GABRQ	down-regulated
ADAMTS7	up-regulated
NKAIN4	down-regulated
SCARA5	up-regulated
DAB2IP	down-regulated
ANXA10	down-regulated
PRPS1	down-regulated
SMPD1	up-regulated
BACE1	up-regulated
NR0B1	down-regulated
PLCB4	up-regulated
BTBD11	up-regulated
CDKN1C	up-regulated
ICA1	down-regulated
CDC25C	down-regulated
STIL	down-regulated
LINC00886	up-regulated
INPP4B	down-regulated
ORC6	down-regulated
BASP1	down-regulated
KRT18	up-regulated
PROS1	up-regulated
ANLN	down-regulated
MRO	up-regulated
CRY1	up-regulated
MNS1	down-regulated
AC092118.1	down-regulated
UBE2E2	up-regulated
MLXIP	up-regulated
FAM107B	down-regulated
ASS1	up-regulated
SCMH1	up-regulated
CRYAB	up-regulated
SFXN3	up-regulated
MSI2	up-regulated
HMGB2	down-regulated
PPP1R3C	up-regulated
CDCA7	down-regulated
LINC00475	up-regulated
PCOLCE2	down-regulated
ALS2CL	up-regulated
CKAP2L	down-regulated
NCAPH	down-regulated
AL121827.2	down-regulated
PXMP4	up-regulated
GSR	down-regulated
ASPH	down-regulated
KIF18B	down-regulated
P3H2	up-regulated
MLKL	up-regulated
IQGAP1	up-regulated
AL354751.1	up-regulated
STRA6	up-regulated
SFRP4	down-regulated
RHOT1	up-regulated
SLC2A14	up-regulated
NFE2L1	up-regulated
SORBS2	up-regulated
TXNDC11	up-regulated
SEMA3F	up-regulated
ACSL3	up-regulated
POLQ	down-regulated
SERPING1	down-regulated
TNFRSF11A	down-regulated
MARCH8	up-regulated
BARD1	down-regulated
TYMS	down-regulated
LIN9	down-regulated
JAK2	up-regulated
RNF219	down-regulated
GLDC	up-regulated
CRLS1	up-regulated
C3orf80	down-regulated
BFAR	up-regulated
GACAT2	down-regulated
C12orf49	up-regulated
ACTC1	down-regulated
ARID5B	up-regulated
CNTN1	down-regulated
RCL1	up-regulated
PXDN	up-regulated
PPL	up-regulated
SUSD3	up-regulated
ZNF704	down-regulated
CBX2	down-regulated
PON2	up-regulated
TMEM50B	up-regulated
CRYZ	up-regulated
GEN1	down-regulated
CPA4	down-regulated
MMD	up-regulated
